adventure_nr,out,home,duration
310,2019-06-16T00:36:07Z,2019-06-16T00:48:18Z,12.183333333333334
311,2019-06-16T03:21:38Z,2019-06-16T03:39:48Z,18.166666666666668
312,2019-06-16T03:50:16Z,2019-06-16T04:44:29Z,54.21666666666667
313,2019-06-17T02:34:10Z,2019-06-17T03:12:23Z,38.21666666666667
314,2019-06-17T04:00:06Z,2019-06-17T05:15:08Z,75.03333333333333
315,2019-06-18T03:08:47Z,2019-06-18T03:54:48Z,46.016666666666666
316,2019-06-19T02:01:49Z,2019-06-19T04:11:14Z,129.41666666666666
317,2019-06-19T07:48:13Z,2019-06-19T20:07:21Z,739.1333333333333
318,2019-06-20T10:54:34Z,2019-06-20T12:25:19Z,90.75
319,2019-06-20T17:45:58Z,2019-06-20T20:30:02Z,164.06666666666666
320,2019-06-20T20:38:17Z,2019-06-20T21:43:32Z,65.25
321,2019-06-21T02:03:39Z,2019-06-21T03:50:56Z,107.28333333333333
322,2019-06-21T03:59:15Z,2019-06-21T04:17:07Z,17.866666666666667
323,2019-06-21T06:35:16Z,2019-06-21T07:15:37Z,40.35
324,2019-06-21T14:50:37Z,2019-06-21T20:16:35Z,325.96666666666664
325,2019-06-22T02:42:49Z,2019-06-22T02:53:40Z,10.85
326,2019-06-22T03:37:38Z,2019-06-22T03:46:35Z,8.95
327,2019-06-22T04:51:05Z,2019-06-22T04:54:49Z,3.7333333333333334
328,2019-06-23T02:36:51Z,2019-06-23T04:09:23Z,92.53333333333333
329,2019-06-23T06:39:09Z,2019-06-23T06:49:16Z,10.116666666666667
330,2019-06-24T00:15:08Z,2019-06-24T02:42:40Z,147.53333333333333
331,2019-06-24T02:45:04Z,2019-06-24T03:54:23Z,69.31666666666666
332,2019-06-25T02:21:35Z,2019-06-25T04:20:18Z,118.71666666666667
334,2019-06-30T02:18:59Z,2019-06-30T05:39:15Z,200.26666666666668
335,2019-07-01T03:43:37Z,2019-07-01T03:54:54Z,11.283333333333333
336,2019-07-01T13:24:49Z,2019-07-02T03:49:19Z,864.5
337,2019-07-02T20:51:06Z,2019-07-03T01:15:59Z,264.8833333333333
338,2019-07-03T01:24:25Z,2019-07-03T02:13:21Z,48.93333333333333
339,2019-07-03T02:22:11Z,2019-07-03T04:00:01Z,97.83333333333333
340,2019-07-03T22:41:50Z,2019-07-04T03:25:10Z,283.3333333333333
341,2019-07-04T03:59:30Z,2019-07-04T04:02:53Z,3.3833333333333333
342,2019-07-04T20:49:23Z,2019-07-05T03:07:19Z,377.93333333333334
343,2019-07-05T03:44:10Z,2019-07-05T03:49:17Z,5.116666666666666
344,2019-07-05T09:57:02Z,2019-07-06T02:22:24Z,985.3666666666667
345,2019-07-06T02:29:58Z,2019-07-06T04:12:16Z,102.3
346,2019-07-07T04:04:16Z,2019-07-07T06:08:03Z,123.78333333333333
347,2019-07-09T02:58:38Z,2019-07-09T03:16:48Z,18.166666666666668
348,2019-07-09T03:22:59Z,2019-07-09T04:00:50Z,37.85
349,2019-07-10T01:09:39Z,2019-07-10T01:49:07Z,39.46666666666667
350,2019-07-10T04:30:09Z,2019-07-10T04:31:34Z,1.4166666666666667
351,2019-07-10T04:50:15Z,2019-07-10T05:03:23Z,13.133333333333333
352,2019-07-10T06:18:18Z,2019-07-10T06:49:04Z,30.766666666666666
353,2019-07-11T02:29:55Z,2019-07-11T05:21:13Z,171.3
354,2019-07-12T10:36:36Z,2019-07-12T21:26:52Z,650.2666666666667
355,2019-07-13T01:38:34Z,2019-07-13T03:54:30Z,135.93333333333334
356,2019-07-14T00:25:13Z,2019-07-14T01:23:07Z,57.9
357,2019-07-14T01:28:25Z,2019-07-14T03:28:29Z,120.06666666666666
358,2019-07-14T05:05:48Z,2019-07-14T05:11:21Z,5.55
359,2019-07-15T03:43:37Z,2019-07-15T04:10:16Z,26.65
360,2019-07-15T04:38:44Z,2019-07-15T04:56:32Z,17.8
361,2019-07-17T04:09:06Z,2019-07-17T05:06:12Z,57.1
